Epoch,Optimizer,Error
212,GRADIENT_DESCENT,8.7244887733468
213,GRADIENT_DESCENT,8.244662467048801
214,GRADIENT_DESCENT,8.713203785272832
215,GRADIENT_DESCENT,7.73138691498821
216,GRADIENT_DESCENT,8.832836568326165
217,GRADIENT_DESCENT,7.478084375505884
218,GRADIENT_DESCENT,9.084328544865244
219,GRADIENT_DESCENT,8.020966738234996
220,GRADIENT_DESCENT,8.12485549855046
221,GRADIENT_DESCENT,8.579176629205381
222,GRADIENT_DESCENT,8.796811895199282
223,GRADIENT_DESCENT,7.590155387129008
224,GRADIENT_DESCENT,9.143021808377126
225,GRADIENT_DESCENT,7.922803264465419
226,GRADIENT_DESCENT,8.697936484523169
227,GRADIENT_DESCENT,7.452502775580365
228,GRADIENT_DESCENT,9.096720588872287
229,GRADIENT_DESCENT,8.340531739807595
230,GRADIENT_DESCENT,8.054703006013286
231,GRADIENT_DESCENT,8.911006487279789
232,GRADIENT_DESCENT,9.383907792025427
233,GRADIENT_DESCENT,8.765893302080421
234,GRADIENT_DESCENT,8.777386632051485
235,GRADIENT_DESCENT,8.374074998360376
236,GRADIENT_DESCENT,8.618898153300348
237,GRADIENT_DESCENT,8.149793979704473
238,GRADIENT_DESCENT,8.632988109128595
239,GRADIENT_DESCENT,8.021432357734552
240,GRADIENT_DESCENT,8.700135177646395
241,GRADIENT_DESCENT,8.102722830809027
242,GRADIENT_DESCENT,8.663972125297427
243,GRADIENT_DESCENT,7.948416685670202
244,GRADIENT_DESCENT,8.74992852224104
245,GRADIENT_DESCENT,8.02233701467042
246,GRADIENT_DESCENT,8.64451769759132
247,GRADIENT_DESCENT,8.087410451903533
248,GRADIENT_DESCENT,8.759298832804104
249,GRADIENT_DESCENT,8.045038084127913
250,GRADIENT_DESCENT,8.618986203984104
251,GRADIENT_DESCENT,8.13345975026708
252,GRADIENT_DESCENT,8.650154187299544
253,GRADIENT_DESCENT,8.236666085074447
254,GRADIENT_DESCENT,8.59519568921248
255,GRADIENT_DESCENT,8.037600897173899
256,GRADIENT_DESCENT,8.711163538824145
257,GRADIENT_DESCENT,7.956065296401876
258,GRADIENT_DESCENT,8.652397505506146
259,GRADIENT_DESCENT,8.14301755591018
260,GRADIENT_DESCENT,8.658451521310319
261,GRADIENT_DESCENT,8.224355980627951
262,GRADIENT_DESCENT,8.528556670863018
263,GRADIENT_DESCENT,8.250361141470338
264,GRADIENT_DESCENT,8.588441425460235
265,GRADIENT_DESCENT,8.667990217557932
266,GRADIENT_DESCENT,8.40603248747932
267,GRADIENT_DESCENT,8.384304670763315
268,GRADIENT_DESCENT,8.1869677286213
