pokemon,status_effect,result,current_iter,max_iter
jolteon,POISON,False,5,30
jolteon,POISON,False,6,30
jolteon,POISON,False,7,30
jolteon,POISON,False,8,30
jolteon,POISON,False,9,30
jolteon,POISON,False,10,30
jolteon,POISON,False,11,30
jolteon,POISON,False,12,30
jolteon,POISON,False,13,30
jolteon,POISON,False,14,30
jolteon,POISON,False,15,30
jolteon,POISON,False,16,30
jolteon,POISON,False,17,30
jolteon,POISON,False,18,30
jolteon,POISON,False,19,30
jolteon,POISON,False,20,30
jolteon,POISON,False,21,30
jolteon,POISON,False,22,30
jolteon,POISON,False,23,30
jolteon,POISON,False,24,30
jolteon,POISON,False,25,30
jolteon,POISON,False,26,30
jolteon,POISON,False,27,30
jolteon,POISON,False,28,30
jolteon,POISON,False,29,30
jolteon,POISON,False,30,30
snorlax,NONE,False,1,30
snorlax,NONE,False,2,30
snorlax,NONE,False,3,30
snorlax,NONE,False,4,30
snorlax,NONE,False,5,30
snorlax,NONE,False,6,30
snorlax,NONE,False,7,30
snorlax,NONE,False,8,30
snorlax,NONE,True,9,30
snorlax,NONE,False,10,30
snorlax,NONE,False,11,30
snorlax,NONE,False,12,30
snorlax,NONE,False,13,30
snorlax,NONE,False,14,30
snorlax,NONE,False,15,30
snorlax,NONE,False,16,30
snorlax,NONE,False,17,30
snorlax,NONE,False,18,30
snorlax,NONE,False,19,30
snorlax,NONE,False,20,30
snorlax,NONE,True,21,30
snorlax,NONE,False,22,30
snorlax,NONE,False,23,30
snorlax,NONE,False,24,30
snorlax,NONE,True,25,30
snorlax,NONE,False,26,30
snorlax,NONE,False,27,30
snorlax,NONE,False,28,30
snorlax,NONE,False,29,30
snorlax,NONE,False,30,30
snorlax,FREEZE,False,1,30
snorlax,FREEZE,False,2,30
snorlax,FREEZE,False,3,30
snorlax,FREEZE,False,4,30
snorlax,FREEZE,False,5,30
snorlax,FREEZE,False,6,30
snorlax,FREEZE,False,7,30
snorlax,FREEZE,False,8,30
snorlax,FREEZE,False,9,30
snorlax,FREEZE,False,10,30
snorlax,FREEZE,False,11,30
snorlax,FREEZE,False,12,30
snorlax,FREEZE,False,13,30
snorlax,FREEZE,False,14,30
snorlax,FREEZE,False,15,30
snorlax,FREEZE,False,16,30
snorlax,FREEZE,False,17,30
snorlax,FREEZE,False,18,30
snorlax,FREEZE,False,19,30
snorlax,FREEZE,False,20,30
snorlax,FREEZE,False,21,30
snorlax,FREEZE,False,22,30
snorlax,FREEZE,False,23,30
snorlax,FREEZE,False,24,30
snorlax,FREEZE,False,25,30
snorlax,FREEZE,False,26,30
snorlax,FREEZE,False,27,30
snorlax,FREEZE,False,28,30
snorlax,FREEZE,False,29,30
snorlax,FREEZE,False,30,30
snorlax,SLEEP,False,1,30
snorlax,SLEEP,False,2,30
snorlax,SLEEP,False,3,30
snorlax,SLEEP,False,4,30
snorlax,SLEEP,True,5,30
snorlax,SLEEP,False,6,30
snorlax,SLEEP,False,7,30
snorlax,SLEEP,False,8,30
snorlax,SLEEP,False,9,30
snorlax,SLEEP,False,10,30
snorlax,SLEEP,False,11,30
snorlax,SLEEP,False,12,30
snorlax,SLEEP,False,13,30
snorlax,SLEEP,False,14,30
snorlax,SLEEP,False,15,30
snorlax,SLEEP,False,16,30
snorlax,SLEEP,False,17,30
snorlax,SLEEP,False,18,30
snorlax,SLEEP,True,19,30
snorlax,SLEEP,False,20,30
snorlax,SLEEP,False,21,30
snorlax,SLEEP,False,22,30
snorlax,SLEEP,False,23,30
snorlax,SLEEP,False,24,30
snorlax,SLEEP,False,25,30
snorlax,SLEEP,False,26,30
snorlax,SLEEP,False,27,30
snorlax,SLEEP,False,28,30
snorlax,SLEEP,False,29,30
snorlax,SLEEP,False,30,30
snorlax,PARALYSIS,False,1,30
snorlax,PARALYSIS,False,2,30
snorlax,PARALYSIS,False,3,30
snorlax,PARALYSIS,False,4,30
snorlax,PARALYSIS,False,5,30
snorlax,PARALYSIS,False,6,30
snorlax,PARALYSIS,False,7,30
snorlax,PARALYSIS,False,8,30
snorlax,PARALYSIS,False,9,30
snorlax,PARALYSIS,False,10,30
snorlax,PARALYSIS,False,11,30
snorlax,PARALYSIS,False,12,30
snorlax,PARALYSIS,False,13,30
snorlax,PARALYSIS,False,14,30
snorlax,PARALYSIS,False,15,30
snorlax,PARALYSIS,False,16,30
snorlax,PARALYSIS,False,17,30
snorlax,PARALYSIS,False,18,30
snorlax,PARALYSIS,False,19,30
snorlax,PARALYSIS,False,20,30
snorlax,PARALYSIS,True,21,30
snorlax,PARALYSIS,True,22,30
snorlax,PARALYSIS,False,23,30
snorlax,PARALYSIS,False,24,30
snorlax,PARALYSIS,False,25,30
snorlax,PARALYSIS,False,26,30
snorlax,PARALYSIS,False,27,30
snorlax,PARALYSIS,False,28,30
snorlax,PARALYSIS,True,29,30
snorlax,PARALYSIS,False,30,30
snorlax,BURN,False,1,30
snorlax,BURN,False,2,30
snorlax,BURN,False,3,30
snorlax,BURN,False,4,30
snorlax,BURN,False,5,30
snorlax,BURN,False,6,30
